Change,Close,Date,Momentum,open
0.012957076,532.59906,4/2/2015,0,532.6120171
0.002306185,533.827332,4/6/2015,1,533.8250258
0.000475062,534.080933,4/7/2015,1,534.0804579
0.008547169,538.645813,4/8/2015,1,538.6372658
0.001532434,537.820374,4/9/2015,0,537.8219064
0.001423912,537.054565,4/10/2015,0,537.0559889
0.001555499,536.219177,4/13/2015,0,536.2207325
0.016284375,527.487183,4/14/2015,0,527.5034674
0.004039294,529.617859,4/15/2015,1,529.6138197
0.00238036,530.87854,4/16/2015,1,530.8761596
0.018265298,521.181885,4/17/2015,0,521.2001503
0.021620101,532.44989,4/20/2015,1,532.4282699
0.002629171,531.049988,4/21/2015,0,531.0526172
0.010099046,536.413086,4/22/2015,1,536.402987
0.01415551,544.006287,4/23/2015,1,543.9921315
0.033016495,561.967468,4/24/2015,1,561.9344515
0.011739955,555.369995,4/27/2015,0,555.381735
0.00304302,553.679993,4/28/2015,0,553.683036
0.008308005,549.080017,4/29/2015,0,549.088325
0.021381201,537.340027,4/30/2015,0,537.3614082
0.001042165,537.900024,5/1/2015,1,537.8989818
0.005354164,540.780029,5/4/2015,1,540.7746748
0.018454899,530.799988,5/5/2015,0,530.8184429
0.012396415,524.219971,5/6/2015,0,524.2323674
0.012361301,530.700012,5/7/2015,1,530.6876507
0.014169887,538.219971,5/8/2015,1,538.2058011
0.004682024,535.700012,5/11/2015,0,535.704694
0.012432395,529.039978,5/12/2015,0,529.0524104
0.001096358,529.619995,5/13/2015,1,529.6188986
0.016577979,538.400024,5/14/2015,1,538.383446
0.008451055,533.849976,5/15/2015,0,533.8584271
0.002903415,532.299988,5/18/2015,0,532.3028914
0.009505912,537.359985,5/19/2015,1,537.3504791
0.003554479,539.27002,5/20/2015,1,539.2664655
0.006008103,542.51001,5/21/2015,1,542.5040019
0.004423928,540.109985,5/22/2015,0,540.1144089
0.014422948,532.320007,5/26/2015,0,532.3344299
0.014032858,539.789978,5/27/2015,1,539.7759451
1.84E-05,539.780029,5/28/2015,0,539.7800474
0.014209574,532.109985,5/29/2015,0,532.1241946
0.003533114,533.98999,6/1/2015,1,533.9864569
0.009719289,539.179993,6/2/2015,1,539.1702737
0.002095784,540.309998,6/3/2015,1,540.3079022
0.006681324,536.700012,6/4/2015,0,536.7066933
0.006279104,533.330017,6/5/2015,0,533.3362961
0.012187576,526.830017,6/8/2015,0,526.8422046
0.000265769,526.690002,6/9/2015,0,526.6902678
0.018986501,536.690002,6/10/2015,1,536.6710155
0.00387564,534.609985,6/11/2015,0,534.6138606
0.004264731,532.330017,6/12/2015,0,532.3342817
0.009636888,527.200012,6/15/2015,0,527.2096489
0.001801995,528.150024,6/16/2015,1,528.148222
0.002101649,529.26001,6/17/2015,1,529.2579084
0.014113989,536.72998,6/18/2015,1,536.715866
7.45E-05,536.690002,6/19/2015,0,536.6900765
